trade_id,entry_time,exit_time,direction,entry_price,exit_price,pnl_pips,pnl_dollars,exit_reason,session,day_of_week,prior_4h_direction,atr_at_entry,holding_bars,sample
T3429,2020-07-20 15:00:00,2020-07-20 22:00:00,LONG,1.14493,1.14598,10.499999999999954,29.074499999999873,time_stop,NY,Monday,BULL,0.0015956585265593907,7,IS
T3448,2020-07-21 10:00:00,2020-07-21 13:00:00,LONG,1.14886,1.1533,44.39999999999999,36.0084,take_profit,LONDON,Tuesday,BULL,0.0018236980239155272,3,IS
T3520,2020-07-24 10:00:00,2020-07-26 17:00:00,LONG,1.16263,1.16445,18.199999999999328,19.364799999999285,time_stop,LONDON,Friday,BULL,0.0018512803729102377,55,IS
T3572,2020-07-28 14:00:00,2020-07-28 21:00:00,SHORT,1.17225,1.1724,-1.500000000000945,-4.5690000000028785,time_stop,NY,Tuesday,BEAR,0.0019908501905970643,7,IS
T3592,2020-07-29 10:00:00,2020-07-29 17:00:00,LONG,1.1776,1.17924,16.40000000000086,13.251200000000694,time_stop,LONDON,Wednesday,BULL,0.0017385052500810678,7,IS
T3620,2020-07-30 14:00:00,2020-07-30 21:00:00,LONG,1.18398,1.18832,43.400000000000105,40.535600000000095,time_stop,NY,Thursday,BULL,0.001955476948977695,7,IS
T3639,2020-07-31 09:00:00,2020-07-31 15:00:00,SHORT,1.18231,1.17792,43.89999999999894,69.44979999999833,take_profit,LONDON,Friday,BEAR,0.0020900720285214978,6,IS
T3668,2020-08-03 14:00:00,2020-08-03 21:00:00,LONG,1.17603,1.17583,-1.9999999999997797,-4.157999999999542,time_stop,NY,Monday,BULL,0.0020810390606660002,7,IS
T3693,2020-08-04 15:00:00,2020-08-04 22:00:00,LONG,1.18039,1.18196,15.699999999998493,18.62019999999821,time_stop,NY,Tuesday,BULL,0.0019145456169560049,7,IS
T3711,2020-08-05 09:00:00,2020-08-05 16:00:00,LONG,1.1893,1.18629,-30.09999999999957,-23.59839999999966,time_stop,LONDON,Wednesday,BULL,0.0020265852040861716,7,IS
T3759,2020-08-07 09:00:00,2020-08-07 16:00:00,SHORT,1.17713,1.17862,-14.899999999999913,-9.491299999999946,time_stop,LONDON,Friday,BEAR,0.0022301728158637436,7,IS
T3788,2020-08-10 14:00:00,2020-08-10 20:00:00,SHORT,1.17425,1.1725100000000002,17.399999999998528,47.98919999999594,take_profit,NY,Monday,BEAR,0.0017173725624087873,6,IS
T3808,2020-08-11 10:00:00,2020-08-11 17:00:00,SHORT,1.1764000000000001,1.17412,22.800000000000598,24.96600000000065,time_stop,LONDON,Tuesday,BEAR,0.0018573915833018995,7,IS
T3855,2020-08-13 09:00:00,2020-08-13 11:00:00,LONG,1.18569,1.18173,-39.59999999999963,-54.88559999999949,stop_loss,LONDON,Thursday,BULL,0.001768143285433397,2,IS
T3860,2020-08-13 14:00:00,2020-08-13 21:00:00,SHORT,1.17968,1.18121,-15.300000000000313,-28.35090000000058,time_stop,NY,Thursday,BEAR,0.0018129558534119754,7,IS
T3879,2020-08-14 09:00:00,2020-08-14 16:00:00,LONG,1.18362,1.18414,5.20000000000076,8.044400000001175,time_stop,LONDON,Friday,BULL,0.0016813194529650877,7,IS
T3927,2020-08-18 09:00:00,2020-08-18 16:00:00,LONG,1.19591,1.19305,-28.600000000000847,-21.93620000000065,time_stop,LONDON,Tuesday,BULL,0.0015564932373565046,7,IS
T3956,2020-08-19 14:00:00,2020-08-19 21:00:00,SHORT,1.1854500000000001,1.18439,10.600000000000609,11.384400000000653,time_stop,NY,Wednesday,BEAR,0.001924225189662669,7,IS
T4004,2020-08-21 14:00:00,2020-08-23 21:00:00,LONG,1.1789399999999999,1.18022,12.800000000001699,21.32480000000283,time_stop,NY,Friday,BULL,0.0018794671960112419,55,IS
T4024,2020-08-24 10:00:00,2020-08-24 17:00:00,SHORT,1.18119,1.17911,20.799999999998597,25.875199999998255,time_stop,LONDON,Monday,BEAR,0.0015612990746570192,7,IS
T4053,2020-08-25 15:00:00,2020-08-25 22:00:00,LONG,1.18319,1.18194,-12.499999999999734,-21.61249999999954,time_stop,NY,Tuesday,BULL,0.0015418014620745756,7,IS
T4096,2020-08-27 10:00:00,2020-08-27 17:00:00,SHORT,1.17875,1.18198,-32.30000000000066,-29.522200000000602,time_stop,LONDON,Thursday,BEAR,0.0022310115958847363,7,IS
T4144,2020-08-31 10:00:00,2020-08-31 17:00:00,LONG,1.19618,1.1939,-22.800000000000598,-24.57840000000065,time_stop,LONDON,Monday,BULL,0.0018956224004767809,7,IS
T4192,2020-09-02 10:00:00,2020-09-02 17:00:00,SHORT,1.1839,1.18548,-15.800000000001369,-19.6552000000017,time_stop,LONDON,Wednesday,BEAR,0.0019710110477553014,7,IS
T4220,2020-09-03 14:00:00,2020-09-03 21:00:00,LONG,1.18579,1.18523,-5.599999999998939,-8.069599999998472,time_stop,NY,Thursday,BULL,0.0018621330457516511,7,IS
T4239,2020-09-04 09:00:00,2020-09-04 16:00:00,SHORT,1.17975,1.18371,-39.59999999999963,-32.2343999999997,time_stop,LONDON,Friday,BEAR,0.0018387089480596847,7,IS
T4268,2020-09-07 14:00:00,2020-09-07 21:00:00,SHORT,1.18119,1.17969,15.000000000000568,84.3000000000032,time_stop,NY,Monday,BEAR,0.00125746129447287,7,IS
T4287,2020-09-08 09:00:00,2020-09-08 16:00:00,SHORT,1.1775900000000001,1.17737,2.20000000000109,3.37040000000167,time_stop,LONDON,Tuesday,BEAR,0.0015121434895167952,7,IS
T4340,2020-09-10 14:00:00,2020-09-10 21:00:00,SHORT,1.18235,1.18332,-9.699999999999154,-7.420499999999352,time_stop,NY,Thursday,BEAR,0.0019839039884383663,7,IS
T4360,2020-09-11 10:00:00,2020-09-13 17:00:00,SHORT,1.18275,1.18369,-9.399999999999409,-11.712399999999263,time_stop,LONDON,Friday,BEAR,0.0016758967862371158,55,IS
T4407,2020-09-15 09:00:00,2020-09-15 16:00:00,SHORT,1.18625,1.18462,16.300000000000203,19.98380000000025,time_stop,LONDON,Tuesday,BEAR,0.0013258911984536583,7,IS
T4436,2020-09-16 14:00:00,2020-09-16 21:00:00,SHORT,1.17983,1.1762,36.30000000000022,41.56350000000025,time_stop,NY,Wednesday,BEAR,0.0017369484292570029,7,IS
T4460,2020-09-17 14:00:00,2020-09-17 21:00:00,LONG,1.184,1.18487,8.700000000001484,18.844200000003212,time_stop,NY,Thursday,BULL,0.0018027307029170384,7,IS
T4485,2020-09-18 15:00:00,2020-09-20 22:00:00,SHORT,1.18483,1.18585,-10.200000000000209,-24.459600000000503,time_stop,NY,Friday,BEAR,0.001583903809427066,55,IS
T4503,2020-09-21 09:00:00,2020-09-21 16:00:00,SHORT,1.17487,1.17707,-21.999999999999797,-21.339999999999804,time_stop,LONDON,Monday,BEAR,0.0017583201442971643,7,IS
T4551,2020-09-23 09:00:00,2020-09-23 16:00:00,SHORT,1.16822,1.16595,22.699999999999942,35.97949999999991,time_stop,LONDON,Wednesday,BEAR,0.0016831585724272743,7,IS
T4600,2020-09-25 10:00:00,2020-09-27 17:00:00,SHORT,1.16173,1.16265,-9.200000000000319,-15.465200000000536,time_stop,LONDON,Friday,BEAR,0.0015030335406857715,55,IS
T4629,2020-09-28 15:00:00,2020-09-28 22:00:00,LONG,1.1671099999999999,1.16706,-0.4999999999988347,-1.1664999999972814,time_stop,NY,Monday,BULL,0.0013969810885032226,7,IS
T4647,2020-09-29 09:00:00,2020-09-29 16:00:00,LONG,1.17255,1.17426,17.100000000001003,24.62400000000144,time_stop,LONDON,Tuesday,BULL,0.0014460584334357444,7,IS
T4696,2020-10-01 10:00:00,2020-10-01 17:00:00,SHORT,1.1735,1.17445,-9.500000000000064,-12.863000000000087,time_stop,LONDON,Thursday,BEAR,0.0017847048244802725,7,IS
T4743,2020-10-05 09:00:00,2020-10-05 16:00:00,LONG,1.1787699999999999,1.17825,-5.199999999998539,-5.870799999998351,time_stop,LONDON,Monday,BULL,0.0014398777259077107,7,IS
T4772,2020-10-06 14:00:00,2020-10-06 16:00:00,SHORT,1.17543,1.1733900000000002,20.399999999998197,33.537599999997035,take_profit,NY,Tuesday,BEAR,0.0015376388130803114,2,IS
T4815,2020-10-08 09:00:00,2020-10-08 16:00:00,SHORT,1.17433,1.17582,-14.899999999999913,-27.103099999999845,time_stop,LONDON,Thursday,BEAR,0.0011916285533531113,7,IS
T4864,2020-10-12 10:00:00,2020-10-12 17:00:00,LONG,1.1815,1.18135,-1.500000000000945,-2.467500000001555,time_stop,LONDON,Monday,BULL,0.0011620066606276224,7,IS
T4893,2020-10-13 15:00:00,2020-10-13 22:00:00,LONG,1.17491,1.17431,-5.999999999999339,-14.729999999998377,time_stop,NY,Tuesday,BULL,0.001172421304454535,7,IS
T4988,2020-10-19 14:00:00,2020-10-19 21:00:00,SHORT,1.17656,1.17666,-0.9999999999998899,-1.8749999999997935,time_stop,NY,Monday,BEAR,0.0012549461218184128,7,IS
T5007,2020-10-20 09:00:00,2020-10-20 16:00:00,LONG,1.18208,1.18211,0.2999999999997449,0.6794999999994222,time_stop,LONDON,Tuesday,BULL,0.0012687089961478078,7,IS
T5037,2020-10-21 15:00:00,2020-10-21 22:00:00,SHORT,1.18577,1.18422,15.499999999999403,32.34849999999875,time_stop,NY,Wednesday,BEAR,0.001283029137949612,7,IS
T5061,2020-10-22 15:00:00,2020-10-22 20:00:00,SHORT,1.18171,1.1800300000000001,16.799999999999038,82.2023999999953,take_profit,NY,Thursday,BEAR,0.0011573546885929606,5,IS
T5080,2020-10-23 10:00:00,2020-10-23 15:00:00,SHORT,1.1834,1.18629,-28.900000000000592,-52.33790000000108,stop_loss,LONDON,Friday,BEAR,0.0012687617920229828,5,IS
